date,ifix_value,title_sentiment,snippet_sentiment,average_sentiment
2022-04-28,2804.83,-0.03095,0.106,0.03753
2022-04-29,2813.06,0.0,0.0,0.0
2022-04-30,,,,
2022-05-01,,,,
2022-05-02,2798.16,0.0,0.0,0.0
2022-05-03,2794.89,-0.24383,0.0,-0.12192
2022-05-04,2787.91,-0.50335,-0.0258,-0.26458
2022-05-05,2782.46,0.17253,-0.17223,0.00015
2022-05-06,2779.36,-0.13397,0.07543,-0.02927
2022-05-07,,,,
2022-05-08,,,,
2022-05-09,2769.8,,,
2022-05-10,2768.12,,,
2022-05-11,2763.86,-0.1405,0.25943,0.05947
2022-05-12,2755.79,0.0,0.0,0.0
2022-05-13,2771.87,0.34,0.2263,0.28315
2022-05-14,,,,
2022-05-15,,,,
2022-05-16,2768.63,0.0,0.0,0.0
2022-05-17,2776.62,0.0,0.1779,0.08895
2022-05-18,2777.46,0.4588,0.34,0.3994
2022-05-19,2779.16,,,
2022-05-20,2784.57,0.2061,0.2061,0.2061
2022-05-21,,,,
2022-05-22,,,,
2022-05-23,2789.37,0.0511,0.1014,0.07625
2022-05-24,2791.1,-0.6059,-0.4723,-0.5391
2022-05-25,2793.18,-0.03423,0.03177,-0.00123
2022-05-26,2795.69,-0.2658,0.0836,-0.0911
2022-05-27,2806.52,0.0,-0.2023,-0.10115
2022-05-28,,,,
2022-05-29,,-0.1779,-0.6249,-0.4014
2022-05-30,2812.62,-0.5994,-0.7579,-0.67865
2022-05-31,2820.45,,,
2022-06-01,2823.08,,,
2022-06-02,2826.25,,,
2022-06-03,2830.26,0.0,0.3612,0.1806
2022-06-04,,,,
2022-06-05,,,,
2022-06-06,2829.29,0.064,0.1366,0.1003
2022-06-07,2824.87,0.1025,-0.12397,-0.01073
2022-06-08,2822.8,-0.07655,0.09505,0.00925
2022-06-09,2817.79,0.0593,0.1965,0.1279
2022-06-10,2813.64,-0.17,-0.3774,-0.2737
2022-06-11,,0.4019,0.4019,0.4019
2022-06-12,,,,
2022-06-13,2802.54,,,
2022-06-14,2801.27,0.0,0.0,0.0
2022-06-15,2804.38,-0.1531,-0.1531,-0.1531
2022-06-16,,,,
2022-06-17,2802.02,0.1779,-0.25,-0.03605
2022-06-18,,-0.128,0.1779,0.02495
2022-06-19,,-0.61685,-0.6669,-0.64188
2022-06-20,2811.25,0.0,-0.4939,-0.24695
2022-06-21,2813.08,,,
2022-06-22,2808.42,0.20095,0.22455,0.21275
2022-06-23,2802.66,-0.08947,0.24472,0.07762
2022-06-24,2802.37,,,
2022-06-25,,,,
2022-06-26,,,,
2022-06-27,2800.55,0.17,0.3066,0.2383
2022-06-28,2793.71,0.148,0.4884,0.3182
2022-06-29,2792.39,0.45505,0.37415,0.4146
2022-06-30,2795.62,0.296,0.296,0.296
2022-07-01,2792.12,,,
2022-07-02,,0.3252,0.0,0.1626
2022-07-03,,,,
2022-07-04,2793.4,,,
2022-07-05,2783.8,0.0,0.4939,0.24695
2022-07-06,2788.63,0.148,0.1562,0.1521
2022-07-07,2792.59,0.40085,0.50065,0.45075
2022-07-08,2792.01,0.0593,0.2732,0.16625
2022-07-09,,,,
2022-07-10,,,,
2022-07-11,2786.81,0.3548,0.064,0.2094
2022-07-12,2780.3,0.27115,-0.08645,0.09235
2022-07-13,2773.14,-0.34,0.7425,0.20125
2022-07-14,2775.88,-0.3818,-0.5423,-0.46205
2022-07-15,2778.14,,,
2022-07-16,,,,
2022-07-17,,,,
2022-07-18,2779.77,-0.3612,-0.802,-0.5816
2022-07-19,2784.13,-0.25,0.0,-0.125
2022-07-20,2789.52,0.3182,0.6369,0.47755
2022-07-21,2791.03,0.1591,0.2787,0.2189
2022-07-22,2793.34,-0.47185,-0.51555,-0.4937
2022-07-23,,,,
2022-07-24,,,,
2022-07-25,2792.96,0.11352,0.18546,0.14949
2022-07-26,2794.0,,,
2022-07-27,2794.62,,,
2022-07-28,2801.68,0.25943,0.16463,0.21203
2022-07-29,2814.1,-0.0602,-0.10757,-0.08388
2022-07-30,,0.49305,0.6223,0.55768
2022-07-31,,,,
2022-08-01,2803.32,0.0,0.0,0.0
2022-08-02,2808.65,0.05135,0.08895,0.07015
2022-08-03,2806.25,0.08665,-0.0864,0.00013
2022-08-04,2811.2,-0.4404,0.0,-0.2202
2022-08-05,2817.42,0.0,0.3612,0.1806
2022-08-06,,,,
2022-08-07,,,,
2022-08-08,2821.16,0.0,0.0,0.0
2022-08-09,2825.74,0.09505,-0.10863,-0.00679
2022-08-10,2832.94,0.0,0.0,0.0
2022-08-11,2851.58,0.12287,-0.01615,0.05336
2022-08-12,2870.95,,,
2022-08-13,,,,
2022-08-14,,,,
2022-08-15,2902.06,0.48783,-0.05103,0.2184
2022-08-16,2908.29,,,
2022-08-17,2916.99,-0.1106,-0.00425,-0.05742
2022-08-18,2920.92,,,
2022-08-19,2923.16,,,
2022-08-20,,,,
2022-08-21,,0.0,0.0,0.0
2022-08-22,2929.78,0.23343,0.13727,0.18535
2022-08-23,2931.46,0.2023,0.4767,0.3395
2022-08-24,2929.11,0.25445,0.53865,0.39655
2022-08-25,2933.26,-0.5574,-0.5574,-0.5574
2022-08-26,2940.71,,,
2022-08-27,,,,
2022-08-28,,,,
2022-08-29,2952.45,,,
2022-08-30,2957.24,-0.05503,0.2338,0.08938
2022-08-31,2976.23,-0.39995,0.2997,-0.05012
2022-09-01,2968.97,0.025,-0.09165,-0.03333
2022-09-02,2975.51,0.0,-0.2901,-0.14505
2022-09-03,,-0.2294,0.08895,-0.07022
2022-09-04,,,,
2022-09-05,2980.81,,,
2022-09-06,2977.07,-0.2787,-0.28595,-0.28232
2022-09-07,,0.10115,0.10115,0.10115
2022-09-08,2974.43,0.1531,0.0,0.07655
2022-09-09,2980.06,0.0,0.0,0.0
2022-09-10,,-0.2732,-0.4767,-0.37495
2022-09-11,,,,
2022-09-12,2973.68,-0.10607,0.255,0.07447
2022-09-13,2973.51,,,
2022-09-14,2968.92,0.0,0.34,0.17
2022-09-15,2971.49,-0.06347,0.12483,0.03068
2022-09-16,2984.44,,,
2022-09-17,,0.4007,0.07415,0.23742
2022-09-18,,,,
2022-09-19,2983.78,0.0,0.0258,0.0129
2022-09-20,2987.89,0.3295,0.0,0.16475
2022-09-21,2989.12,-0.31108,-0.0877,-0.19939
2022-09-22,2994.65,0.5423,-0.3612,0.09055
2022-09-23,2990.3,0.09867,0.12762,0.11314
2022-09-24,,,,
2022-09-25,,,,
